企查查搜索关键字,公司在企查查编号,公司在企查查地址,公司名称,公司标签,法定代表人,法定代表人拥有企业数量,公司地址,公司电话,公司邮箱-单个,公司邮箱-多个,公司网址,公司邮箱,公司简介,企业类型,经营状态,成立日期,注册资本,实缴资本,工商注册号,统一社会信用代码,营业期限,参保人数,曾用名,注册地址,经营范围,纳税人识别号,纳税人资质,行业,登记机关,英文名称,组织机构代码,核准日期,人员规模,评分
广州市艾提歌商务服务有限公司,2827139770,https://www.tianyancha.com/company/2827139770,广州市艾提歌商务服务有限公司,在业 ,BABU SHABEER MANGALASSERY,1,广州市荔湾区环市西路37号704房  ,15011944455,1695972127@qq.com,"[""1695972127@qq.com"",""2577168456@qq.com""]",,"[""1695972127@qq.com"",""2577168456@qq.com""]", 广州市艾提歌商务服务有限公司，成立于2013-06-25，注册资本为10万美元，法定代表人为BABU SHABEER MANGALASSERY，经营状态为在业，工商注册号为440101400138082，注册地址为广州市荔湾区环市西路37号704房，经营范围包括商品信息咨询服务;翻译服务;  ,有限责任公司(外国自然人独资),在业,2013-06-25,10万美元,0美元,440101400138082,91440101070162451F,2013-06-25             至 2033-06-25,0,-,广州市荔湾区环市西路37号704房,商品信息咨询服务;翻译服务;,91440101070162451F,-,商务服务业,广州市市场监督管理局,-,070162451,2017-07-20,-,53
广州里仕本酒店用品有限公司,2808043374,https://www.tianyancha.com/company/2808043374,广州里仕本酒店用品有限公司,在业 ,SUNIL BABY,1,广州市番禺区沙头街大罗村银平路25号3021房  ,,,,,, 广州里仕本酒店用品有限公司，成立于2016-02-03，注册资本为15万人民币，法定代表人为SUNIL BABY，经营状态为在业，工商注册号为440101400181150，注册地址为广州市番禺区沙头街大罗村银平路25号3021房，经营范围包括日用器皿及日用杂货批发;厨房设备及厨房用品批发;卫生盥洗设备及用具批发;清洁用品批发;消毒用品销售（涉及许可经营的项目除外）;家居饰品批发;家具批发;电子产品批发;箱、包批发;家用电器批发;纺织品、针织品及原料批发;五金产品批发;  ,有限责任公司(外国自然人独资),在业,2016-02-03,15万人民币,-,440101400181150,91440101MA59BQDN6H,2016-02-03             至 2046-02-03,-,-,广州市番禺区沙头街大罗村银平路25号3021房,日用器皿及日用杂货批发;厨房设备及厨房用品批发;卫生盥洗设备及用具批发;清洁用品批发;消毒用品销售（涉及许可经营的项目除外）;家居饰品批发;家具批发;电子产品批发;箱、包批发;家用电器批发;纺织品、针织品及原料批发;五金产品批发;,91440101MA59BQDN6H,-,批发业,广州市番禺区市场监督管理局,-,MA59BQDN6,2016-02-03,-,47
广州市络柯施娜贸易有限公司,2844172589,https://www.tianyancha.com/company/2844172589,广州市络柯施娜贸易有限公司,在业 ,PRAVEEN KARTHA VIJAYAKUMAR,1,广州市荔湾区西湾路149号之二1303  ,020-38012649,syki@keruichina.com,,,, 广州市络柯施娜贸易有限公司，成立于2015-12-29，注册资本为20万美元，法定代表人为PRAVEEN KARTHA VIJAYAKUMAR，经营状态为在业，工商注册号为440101400179270，注册地址为广州市荔湾区西湾路149号之二1303，经营范围包括家具批发;灯具、装饰物品批发;卫生盥洗设备及用具批发;建材、装饰材料批发;  ,有限责任公司(外国法人独资),在业,2015-12-29,20万美元,0美元,440101400179270,91440101MA59BAMQ4M,2015-12-29             至 2035-12-29,-,-,广州市荔湾区西湾路149号之二1303,家具批发;灯具、装饰物品批发;卫生盥洗设备及用具批发;建材、装饰材料批发;,91440101MA59BAMQ4M,-,批发业,广州市市场监督管理局,-,MA59BAMQ4,2015-12-29,-,58
广州市欧骊偲贸易有限公司,2961164994,https://www.tianyancha.com/company/2961164994,广州市欧骊偲贸易有限公司,注销 小微企业 ,RIYAS ODUPARAKKA POYIL,1,广州市越秀区长堤大马路171-181号四楼自编438房  ,18811883993,297348356@qq.com,"[""297348356@qq.com"",""op.riyas@yahoo.in""]",,"[""297348356@qq.com"",""op.riyas@yahoo.in""]", 广州市欧骊偲贸易有限公司，成立于2016-10-27，注册资本为14万美元，法定代表人为RIYAS ODUPARAKKA POYIL，经营状态为注销，工商注册号为440101400194390，注册地址为广州市越秀区长堤大马路171-181号四楼自编438房，经营范围包括佣金代理;家具批发;灯具、装饰物品批发;鞋批发;箱、包批发;玩具批发;电子产品批发;服装批发;  ,有限责任公司(外国自然人独资),注销,2016-10-27,14万美元,0美元,440101400194390,91440101MA59FH4WX8,2016-10-27             至 2036-10-27,0,-,广州市越秀区长堤大马路171-181号四楼自编438房,佣金代理;家具批发;灯具、装饰物品批发;鞋批发;箱、包批发;玩具批发;电子产品批发;服装批发;,91440101MA59FH4WX8,-,批发业,广州市越秀区市场监督管理局,-,MA59FH4WX,2021-06-16,-,54
广州贝柯捷商务咨询有限公司,2943881160,https://www.tianyancha.com/company/2943881160,广州贝柯捷商务咨询有限公司,在业 小微企业 ,KANCHAN JAIKISHAN SAPRA,1,广州市天河区天河路621号1001之F37房（仅限办公）  ,020-38865269,1845925003@qq.com,,,, 广州贝柯捷商务咨询有限公司，成立于2016-04-28，注册资本为30万人民币，法定代表人为KANCHAN JAIKISHAN SAPRA，经营状态为在业，工商注册号为440101400184870，注册地址为广州市天河区天河路621号1001之F37房（仅限办公），经营范围包括商品信息咨询服务;贸易咨询服务;服装批发;电子产品批发;佣金代理;  ,有限责任公司(外国自然人独资),在业,2016-04-28,30万人民币,-,440101400184870,91440101MA59CMD45X,2016-04-28             至 2046-04-28,1,-,广州市天河区天河路621号1001之F37房（仅限办公）,商品信息咨询服务;贸易咨询服务;服装批发;电子产品批发;佣金代理;,91440101MA59CMD45X,-,批发业,广州市天河区市场监督管理局,-,MA59CMD45,2019-06-26,小于50人,48
广州市印斯味餐饮有限公司,2330323664,https://www.tianyancha.com/company/2330323664,广州市印斯味餐饮有限公司,在业 小微企业 ,MOHIT ARUN GINDODIYA,1,广州市越秀区淘金路165号地下  ,13631367747,yukifeng315@163.com,,,, 广州市印斯味餐饮有限公司，成立于2003-08-14，注册资本为110万港元，法定代表人为MOHIT ARUN GINDODIYA，经营状态为在业，工商注册号为440101400042459，注册地址为广州市越秀区淘金路165号地下，经营范围包括西餐服务;小吃服务;快餐服务;酒类零售;  ,有限责任公司(外国自然人独资),在业,2003-08-14,110万港元,0港元,440101400042459,91440101741854812D,2003-08-14             至 2023-08-14,0,-,广州市越秀区淘金路165号地下,西餐服务;小吃服务;快餐服务;酒类零售;,91440101741854812D,-,餐饮业,广州市越秀区市场监督管理局,"Guangzhou Yinsiwei Catering Co.,Ltd.",741854812,2015-10-12,-,54
广州市臻铢海贸易有限公司,833714649,https://www.tianyancha.com/company/833714649,广州市臻铢海贸易有限公司,在业 小微企业 ,SANJAY GOPALDAS PUNJABI,1,广州市越秀区东风西路132-1号1512房  ,020-81362657,987957864@qq.com,,,," 臻铢海是香港天俐国际有限公司在广州的一个分公司。我们以采购、切割和销售为一体，并为热爱宝石的人们带来地球上稀少而罕见的宝石的公司。我们主营产品有：红色太阳石、绿色太阳石、双色紫黄晶、双色黄水晶、双色紫晶、混色紫黄晶、太阳石、捷克陨石、石英和埃塞尔比亚欧泊. 同时我们还经营橄榄石、变色萤石、黄色萤石、紫色萤石、蓝绿萤石、透辉石和托帕石等... 我们始终坚信这句古语“顾客都是对的”。正是由于我们坚信这句话才能让我们公司涉足成长在宝石行业，我们的目标是根据客户的要求以最低的价格供应宝石原料和成品。 Pearlz Ocean is one of the branch of Timlly HK Ltd. Our company has been Sourcing, Cutting & Bringing The Rare Gemstone Pieces of The Earth to Gem Stone Lovers. Our specialty is Red Andisine, Green Andisine, Bi-Col Ametrine, Bi-Col Citrine, Bi-Col Amethyst, Blended Ametrine, Sunstone, Moldavite, Quartz, Ethopian Opal. We also deals in Peridot, Color Change Fluorite, Yellow Fluorite, Purple Fluorite, Teal Green Fluorite, Chrome Diaopside ,Topaz...... We always given importance to the old age statement ""The Customer Is Always Right"". This has helped us to grow into a force in the Gem Stone Industry, our aim is to supply gem stone material at very low price accourding to customers requirment.  ",有限责任公司(外国自然人独资),在业,2014-07-31,17万美元,2.7万美元,440101400156761,914401010942828616,2014-07-31             至 2044-07-31,1,-,广州市越秀区东风西路132-1号1512房,宝石饰品批发;珍珠饰品批发;白银制品批发;,914401010942828616,-,批发业,广州市越秀区市场监督管理局,-,094282861,2017-10-23,小于50人,58
哈尔沙精密轴承配件（中国）有限公司,2349693731,https://www.tianyancha.com/company/2349693731,哈尔沙精密轴承配件（中国）有限公司,存续 曾用名 小微企业 ,郭广军,1,江苏省常熟市碧溪街道富华路10号  ,0512-52265380,hcl.finance@harshaengineers.cn.com,"[""hcl.finance@harshaengineers.cn.com"",""kate.chen@harshaengineers.cn.com""]",,"[""hcl.finance@harshaengineers.cn.com"",""kate.chen@harshaengineers.cn.com""]", 哈尔沙精密轴承配件（中国）有限公司成立于2008年04月28日，主要经营范围为研发、生产轴承支持架，销售本公司所生产的产品并提供相关售后服务等。  ,有限责任公司(外国法人独资),存续,2008-04-28,2569.9976万美元,2389.4466万人民币,320594400022636,91320594673917075C,2008-04-28             至 2058-04-20,87,,江苏省常熟市碧溪街道富华路10号,研发、生产、加工、销售精密轴承支持架等各种机械零部件，并提供相关配套服务；从事机械零部件的批发、进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320594673917075C,增值税一般纳税人,通用设备制造业,常熟市市场监督管理局,"Becotek Precision Bearing Components(Suzhou)Co.,Ltd.",673917075,2021-11-18,50-99人,91
朗维纺织机械（苏州）有限公司,2317266469,https://www.tianyancha.com/company/2317266469,朗维纺织机械（苏州）有限公司,存续 小微企业 ,Venkataraman Ashwin,1,吴江经济技术开发区叶港路南侧、光明路西侧  ,0512-63912800,finance@lmwtmscl.cn,"[""finance@lmwtmscl.cn"",""ia@lmwtmscl.cn""]",,"[""finance@lmwtmscl.cn"",""ia@lmwtmscl.cn""]", 朗维纺织机械（苏州）有限公司，成立于2008-09-04，注册资本为1250万美元，法定代表人为Venkataraman Ashwin，经营状态为存续，工商注册号为320584400014650，注册地址为吴江经济技术开发区叶港路南侧、光明路西侧，经营范围包括新型纺织机械及关键零部件的研究、开发与制造，本公司自产产品的销售；并提供以上产品的安装、调试、维修及相关的技术咨询和售后服务；从事与本公司生产产品同类商品的批发及进出口业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）  ,有限责任公司(外国法人独资),存续,2008-09-04,1250万美元,1250万美元,320584400014650,91320509679801831M,2008-09-04             至 2058-09-03,72,-,吴江经济技术开发区叶港路南侧、光明路西侧,新型纺织机械及关键零部件的研究、开发与制造，本公司自产产品的销售；并提供以上产品的安装、调试、维修及相关的技术咨询和售后服务；从事与本公司生产产品同类商品的批发及进出口业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320509679801831M,增值税一般纳税人,专用设备制造业,苏州市吴江区市场监督管理局,"LMW TEXTILE MACHINERY(SUZHOU)CO.,LTD.",679801831,2021-10-27,50-99人,86
连云港珀尔贸易有限公司,2349813450,https://www.tianyancha.com/company/2349813450,连云港珀尔贸易有限公司,存续 ,SAJAN RIZWAN ASKERALI,4,连云港经济技术开发区中云文体中心308室  ,18168158503,ia@lygpearl.com,"[""ia@lygpearl.com"",""316404501@qq.com"",""accountant@aldanube.com.cn"",""lyg-cashier@aldanube.com.cn""]",,"[""ia@lygpearl.com"",""316404501@qq.com"",""accountant@aldanube.com.cn"",""lyg-cashier@aldanube.com.cn""]", 连云港珀尔贸易有限公司，成立于2014-05-27，注册资本为20万美元，法定代表人为SAJAN RIZWAN ASKERALI，经营状态为存续，工商注册号为320700400017254，注册地址为连云港经济技术开发区中云文体中心308室，经营范围包括建筑材料、室内装饰品、五金制品、洁具、玻璃制品、石膏及其制品、厨房用具、家具、木工机械、模具、注塑机器、工程机械设备、粘合剂、服装面料、服装、纺织品、鞋、劳动保护用品、皮革原料及皮革制品、电器及家用电器、电子产品、餐具、陶瓷以及陶艺品、灯具的进出口及批发业务；国内货运代理；国内贸易代理；企业营销策划；会展服务；房地产中介服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***一般项目：第二类医疗器械销售；第一类医疗器械销售；日用品批发；化工产品销售（不含许可类化工产品）；厨具卫具及日用杂品批发；消毒剂销售（不含危险化学品）；专用化学产品销售（不含危险化学品）；日用口罩（非医用）销售；日用化学产品销售；母婴用品销售；橡胶制品销售；光学仪器销售；金属链条及其他金属制品销售；电动自行车销售；助动自行车、代步车及零配件销售；自行车及零配件批发；体育用品及器材批发；橡胶加工专用设备销售；汽车零配件批发；电子元器件批发；电子测量仪器销售；喷枪及类似器具销售；阀门和旋塞销售；环境保护专用设备销售；气体压缩机械销售；密封用填料销售；轮胎销售；电气机械设备销售；电气信号设备装置销售；配电开关控制设备销售；气体、液体分离及纯净设备销售；发电机及发电机组销售；产业用纺织制成品销售；集成电路销售；轴承、齿轮和传动部件销售；有色金属合金销售；音响设备销售；轴承销售；玩具销售；塑料制品销售；文具用品批发；农业机械销售；合成材料销售；家具零配件销售；门窗销售；特种劳动防护用品销售；办公设备销售；潜水救捞装备销售；耐火材料销售；日用杂品销售；化妆品批发；卫生用品和一次性使用医疗用品销售；互联网销售（除销售需要许可的商品）；服务消费机器人销售；人工智能硬件销售；智能机器人销售；计算机软硬件及辅助设备批发；互联网设备销售；矿山机械销售；烘炉、熔炉及电炉销售；钟表与计时仪器销售；制冷、空调设备销售；珠宝首饰批发；润滑油销售；工艺美术品及礼仪用品制造（象牙及其制品除外）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）  ,有限责任公司(外商合资),存续,2014-05-27,20万美元,20万人民币,320700400017254,913207000943390479,2014-05-27             至 2034-05-26,38,-,连云港经济技术开发区中云文体中心308室,建筑材料、室内装饰品、五金制品、洁具、玻璃制品、石膏及其制品、厨房用具、家具、木工机械、模具、注塑机器、工程机械设备、粘合剂、服装面料、服装、纺织品、鞋、劳动保护用品、皮革原料及皮革制品、电器及家用电器、电子产品、餐具、陶瓷以及陶艺品、灯具的进出口及批发业务；国内货运代理；国内贸易代理；企业营销策划；会展服务；房地产中介服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***一般项目：第二类医疗器械销售；第一类医疗器械销售；日用品批发；化工产品销售（不含许可类化工产品）；厨具卫具及日用杂品批发；消毒剂销售（不含危险化学品）；专用化学产品销售（不含危险化学品）；日用口罩（非医用）销售；日用化学产品销售；母婴用品销售；橡胶制品销售；光学仪器销售；金属链条及其他金属制品销售；电动自行车销售；助动自行车、代步车及零配件销售；自行车及零配件批发；体育用品及器材批发；橡胶加工专用设备销售；汽车零配件批发；电子元器件批发；电子测量仪器销售；喷枪及类似器具销售；阀门和旋塞销售；环境保护专用设备销售；气体压缩机械销售；密封用填料销售；轮胎销售；电气机械设备销售；电气信号设备装置销售；配电开关控制设备销售；气体、液体分离及纯净设备销售；发电机及发电机组销售；产业用纺织制成品销售；集成电路销售；轴承、齿轮和传动部件销售；有色金属合金销售；音响设备销售；轴承销售；玩具销售；塑料制品销售；文具用品批发；农业机械销售；合成材料销售；家具零配件销售；门窗销售；特种劳动防护用品销售；办公设备销售；潜水救捞装备销售；耐火材料销售；日用杂品销售；化妆品批发；卫生用品和一次性使用医疗用品销售；互联网销售（除销售需要许可的商品）；服务消费机器人销售；人工智能硬件销售；智能机器人销售；计算机软硬件及辅助设备批发；互联网设备销售；矿山机械销售；烘炉、熔炉及电炉销售；钟表与计时仪器销售；制冷、空调设备销售；珠宝首饰批发；润滑油销售；工艺美术品及礼仪用品制造（象牙及其制品除外）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,913207000943390479,增值税一般纳税人,批发业,连云港经济技术开发区市场监督管理局,-,094339047,2022-02-10,小于50人,58
企查查搜索关键字,公司在企查查编号,公司在企查查地址,公司名称,公司标签,法定代表人,法定代表人拥有企业数量,公司地址,公司电话,公司邮箱-单个,公司邮箱-多个,公司网址,公司邮箱,公司简介,企业类型,经营状态,成立日期,注册资本,实缴资本,工商注册号,统一社会信用代码,营业期限,参保人数,曾用名,注册地址,经营范围,纳税人识别号,纳税人资质,行业,登记机关,英文名称,组织机构代码,核准日期,人员规模,评分
苏州荣灏纺织有限公司,2349367001,https://www.tianyancha.com/company/2349367001,苏州荣灏纺织有限公司,存续 小微企业 ,杨志荣,5,江苏省吴江市震泽镇八都工业园区  ,0512-63878577,416996530@qq.com,,,, 苏州荣灏纺织有限公司，成立于2004-01-18，注册资本为310万美元，法定代表人为杨志荣，经营状态为存续，工商注册号为320584400006945，注册地址为江苏省吴江市震泽镇八都工业园区，经营范围包括阿拉伯头巾、袜子、床上用品、服饰、工艺刺绣品、抽纱头巾的生产；本公司自产产品的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）  ,有限责任公司(外商合资),存续,2004-01-18,310万美元,310万人民币,320584400006945,91320509757963597P,2004-01-18             至 2054-01-17,0,-,江苏省吴江市震泽镇八都工业园区,阿拉伯头巾、袜子、床上用品、服饰、工艺刺绣品、抽纱头巾的生产；本公司自产产品的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320509757963597P,增值税一般纳税人,纺织业,苏州市吴江区市场监督管理局,"Suzhou Ronghao Textile Co.,Ltd.",757963597,2016-01-18,-,77
昆山艾迩莱特仪器仪表有限公司,2349196225,https://www.tianyancha.com/company/2349196225,昆山艾迩莱特仪器仪表有限公司,存续 小微企业 ,DANDA SURYA NARAYANA REDDY,1,江苏省昆山市锦溪镇锦甪路10号  ,0512-57228705,,,,, 昆山艾迩莱特仪器仪表有限公司，成立于2010-09-21，注册资本为100万美元，法定代表人为DANDA SURYA NARAYANA REDDY，经营状态为存续，工商注册号为320583400044817，注册地址为江苏省昆山市锦溪镇锦甪路10号，经营范围包括生产、加工、设计研发仪器仪表，销售自产产品并提供售后服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）  ,有限责任公司(外国自然人独资),存续,2010-09-21,100万美元,33.01万人民币,320583400044817,91320583561844801D,2010-09-21             至 2060-09-21,42,-,江苏省昆山市锦溪镇锦甪路10号,生产、加工、设计研发仪器仪表，销售自产产品并提供售后服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320583561844801D,增值税一般纳税人,仪器仪表制造业,昆山市市场监督管理局,"Kunshan Aier Laite Instrumentation Co.,Ltd.",561844801,2016-05-12,小于50人,68
海门市华洋五金标准件有限公司,2352231113,https://www.tianyancha.com/company/2352231113,海门市华洋五金标准件有限公司,存续 小微企业 ,陈利平,3,江苏省海门市三和镇工业集中区（大港路4806号）  ,0513-82335920,hywj01@mails.com,"[""hywj01@mails.com"",""hywj@mails.com"",""515957225@qq.com"",""hywj01@mailserver.com"",""sales@shwjb.com""]",,"[""hywj01@mails.com"",""hywj@mails.com"",""515957225@qq.com"",""hywj01@mailserver.com"",""sales@shwjb.com""]", 海门市华洋五金标准件有限公司（原海门市山河五金标准件有限公司）成立于1984年，占地面积9000平方米，是一家具有近二十年历史的五金标准件专业生产商。座落于风景秀丽的国家级卫生城市-----海门市三和镇工业园区，地处长江三角经济区，是上海经济区的辐射地带，紧临苏通大桥，交通便利，地理位置优越。公司经过多年的发展壮大，先已经形成有外商独资：海门市华洋五金标准件有限公司、上海销售公司—组成。形成集生产、销售、出口贸易于一体的专业性，多元化的公司。。公司拥有进口的自动化生产、检测和试验设备，采用进口及国内大型钢厂优质材料，运用ERP管理系统，生产国标（GB）、美标（ANSI）、英标（BS）、德标（DIN）、意标（UNI）、日标（JIS）、国际标准（ISO）等各类高品质螺栓、螺钉、精线、铆钉、华司、五金冲压件及非标准特殊紧固件，年产量5000吨。品质管理体系已通过ISO9001：2000认证，产品广泛使用于国内外童车床、家具木器、电子通讯、自行车、汽车等行业，并远销美国、英国、日本、欧洲等市场。  ,有限责任公司(外国自然人独资),存续,2005-12-15,100万美元,100万美元,320684400004407,91320684782052568H,2005-12-15             至 2025-12-14,15,-,江苏省海门市三和镇工业集中区（大港路4806号）,生产五金标准件、床上用品、童车、塑料制品（童车的配套座椅）；销售自产产品。（淬火、电镀、喷涂除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320684782052568H,增值税一般纳税人,金属制品业,南通市海门区市场监督管理局,"Haimen Huayang Hardware Standard Component Co.,Ltd.",782052568,2016-01-19,小于50人,68
泰富益农用机械设备（常熟）有限公司,2350543910,https://www.tianyancha.com/company/2350543910,泰富益农用机械设备（常熟）有限公司,存续 小微企业 ,SITARAMAN CHANDRAMOHAN,1,常熟经济技术开发区汪湾北路常熟出口加工区一纵路东F1幢  ,0512-52192293,ziying@tafe.com,,,, 泰富益农用机械设备（常熟）有限公司，成立于2012-03-31，注册资本为662.2万美元，法定代表人为SITARAMAN CHANDRAMOHAN，经营状态为存续，工商注册号为320581400011208，注册地址为常熟经济技术开发区汪湾北路常熟出口加工区一纵路东F1幢，经营范围包括从事以拖拉机为主的农用机械部件、零配件及应用件的生产，销售自产产品并提供技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：保税仓库经营；货物进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：采购代理服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）  ,有限责任公司(外国法人独资),存续,2012-03-31,662.2万美元,661.9985万人民币,320581400011208,91320581592540309L,2012-03-31             至 2062-03-30,9,-,常熟经济技术开发区汪湾北路常熟出口加工区一纵路东F1幢,从事以拖拉机为主的农用机械部件、零配件及应用件的生产，销售自产产品并提供技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：保税仓库经营；货物进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：采购代理服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,91320581592540309L,增值税一般纳税人,批发业,常熟市市场监督管理局,-,592540309,2021-12-09,小于50人,81
普瑞美（江苏）纺织电子仪器有限公司,855942872,https://www.tianyancha.com/company/855942872,普瑞美（江苏）纺织电子仪器有限公司,存续 小微企业 ,SRIDHAR VARADARAJ,1,丹阳市司徒镇眼镜工业园  ,15052964217,1179129@qq.com,"[""1179129@qq.com"",""1179129410@qq.com"",""finance@swoptical.com""]",,"[""1179129@qq.com"",""1179129410@qq.com"",""finance@swoptical.com""]", 普瑞美（江苏）纺织电子仪器有限公司，成立于2004-05-27，注册资本为54.997万美元，法定代表人为SRIDHAR VARADARAJ，经营状态为存续，工商注册号为321181400002097，注册地址为丹阳市司徒镇眼镜工业园，经营范围包括生产销售纺织电子仪器及其元器件，产品售后服务； 上述产品的同类产品的零售（不含店铺）、批发、佣金代理（拍卖除外）和进出口业务（涉及配额许可证管理、专项规定管理的商品应按国家有关规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）  ,有限责任公司(外国法人独资),存续,2004-05-27,54.997万美元,54.997万美元,321181400002097,913211817615167811,2004-05-27             至 2024-05-26,9,-,丹阳市司徒镇眼镜工业园,生产销售纺织电子仪器及其元器件，产品售后服务； 上述产品的同类产品的零售（不含店铺）、批发、佣金代理（拍卖除外）和进出口业务（涉及配额许可证管理、专项规定管理的商品应按国家有关规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,913211817615167811,增值税一般纳税人,汽车制造业,丹阳市市场监督管理局,"Premier Textile Electronic Instrument Co.,Ltd.",761516781,2018-12-28,小于50人,63
佰义鑫（南京）医药化工有限公司,2350321926,https://www.tianyancha.com/company/2350321926,佰义鑫（南京）医药化工有限公司,存续 小微企业 ,Ashish Maheshwari,1,南京市鼓楼区中山北路2号1707室（2107室）  ,025-51861112,account@balaxi.cn,"[""account@balaxi.cn"",""accounts@balaxi.cn""]",,"[""account@balaxi.cn"",""accounts@balaxi.cn""]", 佰义鑫（南京）医药化工有限公司，成立于2013-11-12，注册资本为15万美元，法定代表人为Ashish Maheshwari，经营状态为存续，工商注册号为320100400054964，注册地址为南京市鼓楼区中山北路2号1707室（2107室），经营范围包括生物医药技术、化工产品（不含危险化学品）的技术开发、转让、咨询及服务；化工产品（不含危险品）、化学试剂、仪器仪表、文体用品、纺织品的批发及相关进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）  ,有限责任公司(外商合资),存续,2013-11-12,15万美元,15万人民币,320100400054964,91320100080271221Q,2013-11-12             至 2033-11-05,0,-,南京市鼓楼区中山北路2号1707室（2107室）,生物医药技术、化工产品（不含危险化学品）的技术开发、转让、咨询及服务；化工产品（不含危险品）、化学试剂、仪器仪表、文体用品、纺织品的批发及相关进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320100080271221Q,增值税一般纳税人,科技推广和应用服务业,南京市市场监督管理局,-,080271221,2016-01-14,-,58
徐州傲瑞压缩机有限公司,2348886309,https://www.tianyancha.com/company/2348886309,徐州傲瑞压缩机有限公司,存续 小微企业 ,HEMANT DIDWANIA,1,徐州经济技术开发区驮蓝山路南27号  ,0516-87936039,zqqyaoauro@outlook.com,"[""zqqyaoauro@outlook.com"",""xauroacc@outlook.com""]",,"[""zqqyaoauro@outlook.com"",""xauroacc@outlook.com""]", 徐州傲瑞压缩机有限公司，成立于2007-07-04，注册资本为100万美元，法定代表人为HEMANT DIDWANIA，经营状态为存续，工商注册号为320300400007397，注册地址为徐州经济技术开发区驮蓝山路南27号，经营范围包括生产、加工压缩机、泵，组装、加工配电开关控制设备，销售自产产品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）  ,有限责任公司(外国法人独资),存续,2007-07-04,100万美元,100万人民币,320300400007397,91320301663259697Y,2007-07-04             至 2027-07-03,21,-,徐州经济技术开发区驮蓝山路南27号,生产、加工压缩机、泵，组装、加工配电开关控制设备，销售自产产品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320301663259697Y,增值税一般纳税人,通用设备制造业,徐州经济技术开发区市场监督管理局,Xuzhou Auro Compressors Co.Ltd,663259697,2020-11-03,小于50人,75
